Label, Type, Content
0, Line, //  "Connection reset by peer" 
0, Line, //  convert from a server path to a client path 
0, Line, //  The first time we are configured, it is just to tell   us which machine we are 
0, Line, //  parts[i] == "host:leaderPort:leaderElectionPort;clientPort" 
0, Line, //  does not send anything back when it is done. 
0, Line, //  Convert windows path to UNIX to avoid problems with "\" 
0, Line, //  reconfigMode = false (next shouldn't return null). 
0, Line, //  closing so this is expected 
0, Line, //  Watch status of ZooKeeper server. It will do a graceful shutdown 
0, Line, //  lets start servers 2, 3, 4 with the new config 
0, Line, //  remove hosts number 6 and 7 (the currently last two in the list) 
0, Block, /*      * This is a simple test - try to connect two clients to a server     * accepting a maximum of one connection from each address. Check that     * only one is accepted. Close that connection, and check that the other     * eventually connects.     *     * There is a possibility of a false positive here, as when zk2 is tested     * for having connected it might not have been given enough time, and finish     * connecting after the test is done. Since the     * server doesn't tell the client why it hasn't connected, there's no     * obvious way to detect the difference.      */
0, Block, /*      * (non-Javadoc)     *     * @see org.apache.zookeeper.server.ServerCnxnIface#getSessionTimeout()      */
0, Line, //  Only the root path can end in a /, so strip it off every other prefix 
0, Line, //  this server wasn't around during the configuration change   we should check that it is able to connect, finds out   about the change and becomes an observer. 
0, Line, //  At this point, there might still be new packets appended to outgoingQueue. 
0, Block, /*              * We no longer process NEWLEADER ack with this method. However,             * the learner sends an ack back to the leader after it gets             * UPTODATE, so we just ignore the message.              */
0, Block, /*         * I'm done so joining.         */
0, Line, //  Disable receiving data for all open connections ... 
0, Line, //  important for x-DC scenarios. 
0, Line, //  now make environment for client hang 
0, Line, //  servers from the old list that appear in the new list 
1, Line, //  could not create tmp directory to hold JAAS conf file : test will   fail now. 
0, Line, //  simulate log file 
0, Line, //  Zxids should always be in order for write requests 
0, Line, //  indicates that a reconfig just committed 
0, Line, //  Start up a new instance 
0, Line, //  Check that all clients connect properly 
0, Line, //  If preAllocSize is positive and we are within 4KB of the known end of the file calculate a new file size 
0, Line, //  determine client principal from subject. 
0, Line, //  superuser: use Java system property for password, if available. 
0, Line, //  'B' 
0, Line, //  consider as error
0, Line, // good, wanted to see that, let's make sure we ran out of time 
1, Line, //  FIXME this test is Assert.failing due to client close race condition fixing in separate patch for ZOOKEEPER-63      /**       * this test checks to see if the sessionid that was created for the       * first zookeeper client can be reused for the second one immidiately       * after the first client closes and the new client resues them.       * @throws IOException       * @throws InterruptedException       * @throws KeeperException       */ 
0, Line, //  create transactions to create the snapshot with create/delete pattern 
0, Line, //  Construct a ConcurrentHashSet using a ConcurrentHashMap 
0, Line, // 	    t3.start(); 
0, Line, //  Should not happen, because we check for IPv6 address above 
0, Line, // Let's make sure that we hit the code that ran the real assertion above 
0, Line, //  together like in testNextGoesRound() 
0, Line, //  The synchronized block here is for two purpose:   1. synchronize with the final cleanup() in SendThread.run() to avoid race   2. synchronized against each packet. So if a closeSession packet is added, 
0, Line, //   "modprinc -maxlife 3mins <principal>" in kadmin. 
0, Line, //  got results 
0, Line, //  verify super with correct pass success 
0, Line, //  cool this is what we want 
0, Line, //  continuation 
0, Line, //  Node 1 must be started first, before quorum is formed, to trigger the attempted invalid connection to 3 
0, Line, //  Initialize with null vote 
0, Line, //  Send back the ping with our session data 
0, Line, //  We send DIFF to (6,0) and forward any packet starting at (4,1) 
0, Block, /*      * ZOOKEEPER-2201 - OutputArchive.writeRecord can block for long periods of     * time, we must call it outside of the node lock.     * We call tree.serialize, which calls our modified writeRecord method that     * blocks until it can verify that a separate thread can lock the DataNode     * currently being written, i.e. that DataTree.serializeNode does not hold     * the DataNode lock while calling OutputArchive.writeRecord.      */
0, Line, //  check to see if this user is in the user password database. 
0, Line, //  during the tests we run with 100K prealloc in the logs.   on windows systems prealloc of 64M was seen to take ~15seconds   resulting in test Assert.failure (client timeout on first session).   set env and directly in order to handle static init/gc issues 
0, Line, //  start two servers to form a quorum; client should detect this and 
0, Line, //  we don't have an option specified.   just delete whole quota node 
0, Block, /*          * We return true if one of the following three cases hold:         * 1- New epoch is higher         * 2- New epoch is the same as current epoch, but new zxid is higher         * 3- New epoch is the same as current epoch, new zxid is the same         *  as current zxid, but server id is higher.          */
0, Line, // need to get the PID number of the process first 
0, Line, //  Propose an update 
0, Line, // Delete the leaves first and eventually get rid of the root  Delete all versions of the node with -1. 
0, Line, //  child channels options 
0, Line, //  ok lets find the leader and kill everything else, we have a few 
0, Line, //  Prior to ZOOKEEPER-2249, attempting to pad in association with the second transaction will corrupt the first 
0, Line, //  ensure no late arrivals 
0, Line, //  count down to avoid infinite blocking call due to this latch, if   any. 
0, Line, //  ignoring the interrupt 
0, Line, // 3. Upgrade peer0,1,2 with quorum.auth.enableSasl=true and 
0, Line, //  be propagated to the other servers in the ensemble. 
0, Line, //  property is set but with white spaces 
0, Line, //  generate old config string 
0, Line, //  Authentication exchange has completed 
0, Line, // server.# 
0, Line, //  Create read-only server but don't start it immediately 
0, Line, // Each op in a multi-op must have the same zxid! 
0, Block, /*          * Write id (3.4.6 protocol). This previously caused a NPE in         * QuorumCnxManager.          */
0, Block, /*         * Lists what threads haven't joined. A thread doesn't join if        * it hasn't decided upon a leader yet. It can happen that a        * peer is slow or disconnected, and it can take longer to        * nominate and connect to the current leader.         */
0, Block, /*      * For ZOOKEEPER-1732 verify that it is possible to join an ensemble with     * inconsistent election round information.      */
0, Block, /*          * if local session is not enabled or it used to be our local session         * throw sessions expires          */
0, Line, //  things needed for waitForEpochAck to run (usually in leader.lead(), but we're not running leader here) 
0, Line, //  same configs, and they should be equal to the config we get from QuorumPeer. 
0, Line, //  Start sending packets 
0, Line, //  before create otw race 
0, Line, //  determined by whether we are currently throttled or not 
0, Block, /*  Does it start with an IPv6 literal?  */
0, Line, //  of expiring the session. 
0, Line, //  don't call setup - we don't want to reassign ports/dirs, etc... 
0, Line, //  If the thread is in the the grace period, interrupt   to come out of waiting. 
0, Line, //  ... and close connection 
0, Line, //  verify no auth 
0, Line, // Expected 
0, Line, //  shut the leader down 
0, Line, // in milliseconds, socket should connect/read within this period otherwise SocketTimeoutException 
0, Line, //  LOG.warn("Proposed leader: " +   proposedLeader); 
0, Line, //  When it comes to this point, it guarantees that later queued   packet to outgoingQueue will be notified of death. 
0, Line, //  get leader 
0, Line, //  Verify that we have at least NUM_MESSAGES / SNAPCOUNT txnlog 
0, Line, //  standalone starts with 0 epoch while quorum starts with 1 
0, Block, /*                              * Try to obtain a challenge only if does not have                             * one yet                              */
0, Block, /*          * (non-Javadoc)         *          * @see javax.swing.tree.TreeNode#getParent()          */
0, Line, //  Now we're adding it back as a participant and everything should work. 
0, Line, //  Handle race condition where a node is listed   but gets deleted before it can be queried   ignore 
0, Line, //  load the epochs 
0, Line, //  resolve() call keeps the size of provider 
0, Block, /*      * returns the string that maps to this stat tracking.      */
0, Line, //  In the tests below, a "Strict" server means a UnifiedServerSocket that   does not allow plaintext connections (in other words, it's SSL-only).   A "Non Strict" server means a UnifiedServerSocket that allows both   plaintext and SSL incoming connections. 
0, Line, //  If we get notified about possibly missed events, reload the key store / trust store just to be sure. 
0, Line, //  NOP 
0, Line, //  modify server's client port 
0, Line, //  Receive challenge and store somewhere else 
0, Line, //  Test that the path string is validated 
0, Line, //  Set the margin 
0, Line, //  2: inject network problem in one of the follower 
0, Line, //  This is the "auth" id, so we have to expand it to the   authenticated ids of the requestor 
0, Line, //  processResult() is used by ClientCnxn's sendThread to respond to   data[] contains the Zookeeper Server's SASL token.   ctx is the ZooKeeperSaslClient object. We use this object's respondToServer() method   to reply to the Zookeeper Server's SASL token 
0, Line, //  Now we just start watching the assignments directory 
0, Line, //  try to delete it now as we have done with the created file, why to   wait for deleteOnExit() deletion 
0, Line, //  Leader.NEWLEADER 
0, Line, //  8. check the node exist in previous leader but not others 
0, Line, //  start with the initLimit, once the ack is processed   in LearnerHandler switch to the syncLimit 
0, Line, //  Watcher function doesn't exists for the specified params 
0, Line, //  See ZOOKEEPER-1161 for more details 
0, Line, //  Divide the new servers into oldServers that were in the previous list 
0, Block, /*              * Higher id              */
0, Line, //  EventWatch is a simple, immutable type, so all we need to do   is make sure we can create all possible combinations of values. 
0, Line, //  kill anything that was removed for the children 
0, Line, //  Let the notifications timeout 
0, Line, //  success 
1, Line, //  TODO: need to tune the default value of thread size 
0, Line, //  test that all servers have: 
0, Line, //  Force leader to use snapshot to sync with follower 
0, Line, // No quorum in new config (1/2) 
0, Line, //  If p is a reconfiguration, multiple other operations may be ready to be committed,   since operations wait for different sets of acks.   Currently we only permit one outstanding reconfiguration at a time   such that the reconfiguration and subsequent outstanding ops proposed while the reconfig is   pending all wait for a quorum of old and new config, so its not possible to get enough acks   for an operation without getting enough acks for preceding ops. But in the future if multiple   concurrent reconfigs are allowed, this can happen and then we need to check whether some pending   ops may already have enough acks and can be committed, which is what this code does. 
0, Line, // LOG.info("Defaulting to majority quorums"); 
0, Line, //  When increment ... 
0, Line, //  Check if we shutdown or doIO() closed this connection 
0, Line, // Verify tree deleted 
0, Line, //  used by ClientCnxn to know whether to emit a SASL-related event: either AuthFailed or SaslAuthenticated, 
0, Line, //  We send SNAP 
0, Line, //  If there isn't any version associated with the filename,   the default version is 0. 
0, Line, //  and the stat and quota nodes 
0, Block, /*  followers in its view                                     */
0, Line, //  verify that joiner has up-to-date config, including all four servers. 
0, Line, // //  // If you update the configuration parameters be sure  // to update the "conf" 4letter word  // 
0, Line, //  ignore - can't find the path, will output "n/a" instead 
0, Line, //  Assert that commands are getting forwarded correctly 
0, Line, //  is disabled 
0, Line, //  only previously existing records need to be rolled back. 
0, Block, /*      * (non-Javadoc)     *      * @see     * org.apache.zookeeper.inspector.gui.nodeviewer.ZooInspectorNodeViewer#     * getTitle()      */
0, Line, //  Number of machines becomes smaller, my server is in the new cluster 
0, Line, //  Just put the description in 
0, Line, //  cleanup <path vs watchlist> 
0, Line, //  Test that when asking for more snaps than we created, we still only get snaps 
0, Line, //  Only include votes from machines that we heard from 
0, Line, //  Integer representation of value 
0, Line, //  1 day 
0, Line, //  make sure a different leader was elected 
0, Line, //  Populate DIGEST-MD5 user -> password map with JAAS configuration entries from the "QuorumServer" section.   Usernames are distinguished from other options by prefixing the username with a "user_" prefix. 
0, Line, //  r[0] == "host:clientPort"   r[1] == "host:leaderPort:leaderElectionPort"   Appending ";clientPort" 
0, Line, //  we do this in an attempt to ensure that not all of the servers   in the ensemble take a snapshot at the same time 
0, Line, //  Since this is already a committed proposal, we need to follow 
0, Line, //  required for compilation from C++ 
0, Block, /*      * Mapping from Peer to Thread number      */
0, Line, //  eof reached 
0, Line, //  not a directory 
0, Line, //  Don't expect to get the same stats for different creates. 
0, Line, //  When reset ... 
0, Line, //  Client-initiated renegotiation in TLS is unsafe and   allows MITM attacks, so we should disable it unless   it was explicitly enabled by the user.   A brief summary of the issue can be found at   https://www.ietf.org/proceedings/76/slides/tls-7.pdf 
0, Line, //  Make space for length 
0, Line, //  Peer has zxid in txnlog range 
0, Line, //  check watches 
0, Line, //  element could be removed by poll() 
0, Line, //  that is rather innocuous. 
0, Line, //  Log warning message if txn comes out-of-order 
0, Line, //  reset acl (back to open) and verify accessible again 
0, Block, /*                      * The leader executes the following block, which essentially shuts down                     * the peer if it is not the last round.                       */
1, Line, //  TODO refactor QuorumBase to be special case of this 
0, Line, //  Expiry time is (now/cnxnTimeout + 1)*cnxnTimeout   Range is (now + cnxnTimeout) to (now + 2*cnxnTimeout)   Add 1s buffer to be safe. 
0, Line, //  currently shouldn't happen since there are only 2 learner types 
0, Line, //  setup redirect out/err streams to get System.in/err, use this judiciously!   get current err 
0, Line, //  Only participant need to get outstanding proposals 
0, Line, // corrupting the data 
0, Line, //  254 
0, Line, //  Give things time to report; 
0, Line, //  if we have a loopback and it has an address use it 
0, Block, /*                                  * If this server is not looking, but the one that sent the ack                                 * is looking, then send back what it believes to be the leader.                                  */
0, Line, // find out who is the leader and kill it 
0, Line, //  port in static config file. 
0, Line, //  Sketchy: We assume there will be a leader (probably us) in 3 seconds. 
0, Line, //  Leader asks for epoch (mocking Leader.lead behavior)   First add to connectingFollowers 
0, Block, /*      * (non-Javadoc)     *      * @see     * org.apache.zookeeper.inspector.manager.ZooInspectorNodeManager#setData     * (java.lang.String, java.lang.String)      */
0, Line, //  It's all over 
0, Line, //  Test stat and watch of non existent node 
0, Line, //  No need to synchronize since cnxns is backed by a ConcurrentHashMap 
0, Line, //  quorum members 
0, Line, //  The change should not have happened yet, since we haven't committed 
0, Line, //  since they can't complete the reconfig 
0, Line, //  Revocation checking is only supported with the PKIX algorithm 
0, JavaDoc, /*      * This test wouldn't create any dynamic config.     * However, it adds a "clientPort=XXX" in static config file.     * It checks the standard way of standalone mode.      */
0, Line, //  The stat parameter should be optional. 
0, Block, /*  Create  */
0, Line, //  if the weights are not above zero, things will get messed up 
0, Line, //  Try to load a non-protected private key while providing a password 
0, Block, /*          * Since Configuration initializes the key store and trust store related         * configuration from system property. Reading property from         * configuration will be same reading from system property          */
0, Line, //  not able to truncate the log 
0, Line, //  No more packets to send: turn off write interest flag.   Will be turned on later by a later call to enableWrite(),   from within ZooKeeperSaslClient (if client is configured   to attempt SASL authentication), or in either doIO() or   in doTransport() if not. 
0, Line, //  If we're testing a follower, also check the session id on the 
0, Line, //  I'm not in the view 
0, Line, //  perhaps this is a V0 Create 
0, Line, //  Since this is a rough sanity check, add some padding to maxBuffer to   make up for extra fields, etc. (otherwise e.g. clients may be able to   write buffers larger than we can read from disk!) 
0, Line, //  Submit request directly to leader 
0, Line, //  add the n recent snap files for assertion 
0, Line, //  Update lastCommitted and Db's zxid to a value representing the new epoch 
0, Line, //  this is an unlikely edge case, but check it just in case 
0, Line, //  verify ClientCnxnSocketNIO creation 
0, Line, //  since we have already acked an epoch equal to the leaders, we cannot ack   again, but we still need to send our lastZxid to the leader so that we can   sync with it if it does assume leadership of the epoch.   the -1 indicates that this reply should not count as an ack for the new epoch 
0, Line, //  Here we create 3000 znodes 
1, Line, //  This might not be 100% right, but it's only used for printing   connection info in the netty implementation so it's probably ok. 
0, Line, //  Start the servers with a static config file, without a dynamic config file. 
0, Line, //  This tests the case where ZK ensemble does not have the super user's password configured.   Reconfig should fail as the super user has to be explicitly configured via   zookeeper.DigestAuthenticationProvider.superDigest. 
0, Line, //  Cut the connection, so the server will create closeSession as part 
0, Line, //  Send diff when we see the follower's zxid in our history 
0, Line, //  Peer has zxid (3, 1) 
0, Line, //  Now check that other commands don't blow everything up 
0, Line, //  RFC 2818, 3.1. Server Identity   "...Names may contain the wildcard   character * which is considered to match any single domain name   component or component fragment..."   Based on this statement presuming only singular wildcard is legal 
0, Line, //  found path watcher 
0, Line, //  we'll catch this later if it does happen after timeout, so   why waste the time on poll
0, Line, //  override the defaults 
0, Line, //  before expiration). 
0, Line, //  determine how long to sleep from looking at ticket's expiry.   We should not allow the ticket to expire, but we should take into consideration   MIN_TIME_BEFORE_RELOGIN. Will not sleep less than MIN_TIME_BEFORE_RELOGIN, unless doing so   would cause ticket expiration. 
0, Line, //  This is a relatively common exception that we can't avoid 
0, Line, //  null StoreFileType means 'autodetect from file extension' 
0, Line, //  When local flag is true, remove watchers for the given path   irrespective of rc. Otherwise shouldn't remove watchers locally   when sees failure from server. 
0, Line, //  Queue up any outstanding requests enabling the receipt of   new requests 
0, Line, //  (this is twice the timeout used in Leader#getEpochToPropose) 
0, Line, //  Make create to fail, then verify cversion. 
0, Line, //  n recent snap shots 
0, Block, /*  Sequence numbers for messages  */
0, Line, //  is also auth enabled while enabling quorum server require sasl. 
0, Line, // clear up the kerberos state. But the tokens are not cleared! As per  the Java kerberos login module code, only the kerberos credentials 
0, Line, //  if this is not in cnxns then it's already closed 
0, Line, //  if \n is first char in buffer, leave the string buffer empty 
0, Line, //  wait for new servers to be up running 
0, Line, //  check and make sure the change is persisted 
1, Line, //  Problem 2: Before fix, after session close the ephemeral node   was not getting deleted. But now after the fix after session close 
0, Line, //  verify super can do anything and ignores ACLs 
0, Block, /*                              * Do nothing, just try again                              */
0, Line, //  Round-robin assign this connection to a selector thread 
0, Line, //  Warn about inconsistent peer type 
0, Line, //  Text area for the message 
0, Block, /*          * Start mock server 2          */
0, Block, /*                                  * Global variable keeping track of                                  * how many peers have successfully                                  * joined.                                  */
0, Block, /*  set socket linger to false, so that socket close does not block  */
0, Line, //  clear the buf so we don't get something we read before we sought   number of entries skipped to get to the end of the iterator, less the number skipped to get to the start 
1, Block, /*          * Observer should write to disk, so that the it won't request         * too old txn from the leader which may lead to getting an entire         * snapshot.         *         * However, this may degrade performance as it has to write to disk         * and do periodic snapshot which may double the memory requirements          */
0, Block, /*  Test that the majority quorum verifier only counts votes from  */
0, Line, //  Use BufferedOutputStream to reduce the number of IP packets. This is 
0, Line, //  the new server's config is going to include itself and the current leader 
0, Line, //  verify that the truncation and subsequent append were processed 
0, Line, //  client login 
0, Line, //  We take advantage of the limited size of the length to look   for cmds. They are all 4-bytes which fits inside of an int 
0, Line, //  add previously existing records back. 
0, Line, //  now that the ack has been processed expect the syncLimit 
0, Block, /*      * Determine how much time a process has to wait once it believes that it     * has reached the end of leader election.      */
0, Line, //  if this Assert.fails it means we are not cleaning up after the closed   sessions. 
