@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data
'the type arguments generic super type must not wildcard ',negative
'can open input stream then the pluginproperties the folder and have good base url ',negative
'still dont have good base url complain about ',negative
'consider the classifiers special way take into account the fact they they often acts wrappers for instance type names and that two classifiers that wrap the same instance type name should considered equal ',negative
'create the mapping domain with special command stack ',negative
'the content outline just tree ',negative
'are still the root mapping itself ',negative
'the type also specifies classifier ',negative
'yield that mapping create stack record the next one prune and add the stack ',negative
'the classifiers are considered equal they wrap the same nonnull type ',negative
'consider the instance type names they wrap see they are nonnull and equal ',negative
'get the top iterator retrieve its result and record the one which remove will delegated ',negative
'the result about returned has children ',negative
'record the iterator the next one prune and add the stack ',negative
'then eobject must that match ',negative
'there will iterator prune ',negative
'while the current iterator has next ',negative
'the given class subclass enum and node subclass type ',negative
'only the feature kind unspecified should return match otherwise might return attribute feature when element required vice versa this also can controlled ',negative
'pop from the stack ',negative
'the stack empty were done ',negative
'pop off the stack ',negative
'generate bit node identifier this alternative the ieee host address which not available java ',negative
'get the next one down and then test for has next ',negative
'there iterator prune ',negative
'javadoc copied from source ',negative
'you can only prune once ',negative
'undo the preparation for previous and continue ',negative
'dont create iterator stack until the root mapping itself has been returned next once after that the stack should nonempty and the top iterator should yield true for hasnext ',negative
'printadapters ',negative
'keys that will used record visibility for the accessors ',negative
'that iterator still the top the stack ',negative
'the referenced eobjects arent equal the feature maps arent equal ',negative
'allow for bitshift growth ',negative
'eobject has been compared already ',negative
'keep popping the stack until iterator that has next the top ',negative
'the feature maps must equal ',negative
'conditionally create the data ',negative
'the first case the most common case slightly cheaper call add without index since index will range checked ',negative
'modcount ',negative
'find match make this generic type for this type parameter and then stop the whole process ',negative
'clockseqlow ',negative
'guard for data ',negative
'the system clock has been rewound the clock sequence must incremented ensure that duplicate uuid not generated ',negative
'suppress default constructor for noninstantiability ',negative
'modcount ',negative
'ensure that anything can handled even its not recognized ',negative
'nonjavadoc see ',negative
'strip off the array indices any ',negative
'the entity handler the best place resolve and deresolve uris since can there just once produce the entity most often the entity handler will uri handler well and when used uri handler will identity handler ',negative
'create page set the title and the initial model file name nonnls nonnls nonnls nonnls nonnls ',negative
'mappingrootimpl ',negative
'prepare for createsibling item addition removal nonnls nonnls ',negative
'fill value byte ',negative
'ignore weve already set generic versions these ',negative
'string getpackageid ',negative
'emfedit generation ',negative
'returns whether this class implements any the given features ',negative
'ignore rules for nodes different class ',negative
'remember the static instance ',negative
'msggeteventtype msggetfeature substituteoldvalue substitutenewvalue msggetposition ',negative
'for ',negative
'create command removecommanddomain parentmapping mapping ',negative
'path segments cannot contain since pchar production was not changed rfc ',negative
'fill value byte fill value byte fill value byte ',negative
'processing unknown feature with xsitype xmitype ',negative
'for ',negative
'bidirectional references need use this less efficient approach because some all the changes may already have been made from the other end ',negative
'returns the package which this enum literal defined returns the name the enum literal get method the package interface ',negative
'the proxy holder can hold many values may contain duplicate that resulted when the other end was processed idref and hence did both sides the bidirectional relation ',negative
'data ',negative
'javadoc copied from interface ',negative
'pretend there xmlns because really need ensure that the null prefix isnt used denote something other than the null namespace ',negative
'not add new line there one ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'excise the new root from the document root ',negative
'dont hold onto duplicate reference the last object ',negative
'specified treat these xml schema locations ',negative
'give all back the garbage collector ',negative
'there only whitespace after enum constant the same line not add line breaks ',negative
'write the capacity ',negative
'this happens when processing element with simple content that has elements content even though shouldnt ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'record nodes attributes ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'theres eobject the stack already ',negative
'the following method copied from because the mapping framework cannot have dependency what really need get methods like this moved vabase that everyone can use them change all occurrences oldpat newpat ',negative
'changing ',negative
'test for same document reference that would usually handled idref ',negative
'check for scheme which must before also handle names with dos drive letters character schemes are not allowed ',negative
'need not call setsource because caller can not access this match instance ',negative
'only creates the other pages there something that can edited ',negative
'create the listener demand ',negative
'the pattern contains fixed string the engine checks with boyermoore whether the text contains the fixed string not not return with false ',negative
'publicid systemid notationname ',negative
'ignore close since dont want let the parser close the stream when its done ',negative
'well try adding shallow copy the clipboard contents instead full copy note cant just try adding the clipboard contents itself because the copy may different type then whats the clipboard ejb field rdb column ',negative
'the pattern has only fixed string the engine uses boyermoore ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'publicid systemid ',negative
'edate far too often overridden provide different mapping and therefor the default somewhat obscure its best delegate the factory ',negative
'this seems pretty sweet formula that supports good growth adding object list will create list capacity which just about the average list size ',negative
'convert attribute values amp quot ',negative
'caching parser does not parse file the same way javadoc package for example hence new parser created every time this method called ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'this should transparent ',negative
'ucschar escaped ',negative
'modifierop charop for char backreference capture anchor ',negative
'fill value byte ',negative
'nonjavadoc see ',negative
'process estructuralfeatures for association endrole ',negative
'string ',negative
'xsinil xsitype xmlnsxsi xsischemalocation ',negative
'look for substitution group feature the features containing class containing package ',negative
'its intentional keep going ',negative
'check which directive ',negative
'iri iri ',negative
'check its anonymous type ',negative
'for range nrange ',negative
'only get here should this ',negative
'readerresetstart return false ',negative
'write all the entrydata there will size them ',negative
'fill value byte ',negative
'overlapped src sub sub sub sub ',negative
'restore the capacity there was any ',negative
'read all size number entrydata ',negative
'this just represents going back the unset state but that doesnt affect the contents the list ',negative
'stringparsing implementation ',negative
'create page for the selection tree view ',negative
'generatecolor ',negative
'thisranges sorted and compacted ',negative
'fill value byte fill value byte fill value byte ',negative
'create annotations ',negative
'src src res reuse src ',negative
'interpret the body nested ownedcomment commenttype and assign the eannotationsource the parent ',negative
'xxxxxx ',negative
'internal bootstrap uses literals constants must force initialization this inner interface first ',negative
'iri iri ',negative
'open editor the new file ',negative
'trying match the following productions hexseq hex hex hex hexdig ',negative
'checks whether the expression starts with ',negative
'parse the attrval pairs ',negative
'skips ',negative
'create field initializer from enum constants arguments and body ',negative
'saves current position avoid zerowidth repeats ',negative
'off next ',negative
'different scheme need complete absolute uri ',negative
'apply the change ',negative
'straightforward matching ',negative
'delete the change information because invalid now that the objects have been changed ',negative
'static initializer for archiveschemes ',negative
'apply the change and reverse the change information ',negative
'compute the url for where the classes for this project will located ',negative
'thisiri iri ',negative
'backsolidus posix character class such alnum ',negative
'public regularexpression createregexstring regex int options throws parseexception token tok thisparseregex options return new tok thisparennumber options ',negative
'compute the urls for all the output folder all the project dependencies ',negative
'tokdumpranges ',negative
'define class loader that will look the urls first and doesnt find the class there uses the emitters loader ',negative
'single character azaz azaz literal string and imsims yesno ',negative
'define class loader that will look the class the bundle and doesnt find there will look the parent ',negative
'class rosetoken ',negative
'strip off the trailing and load that class ',negative
'since the granularity time java only milliseconds add adjustment that the time represented nanoseconds the version number multiplexed into the most significant hex digit ',negative
'check that the class actually different from the one thats directly visible the jetemitter ',negative
'filtered for property keys remove duplicates ',negative
'javadoc copied from base class ',negative
'character class azaz character class ',negative
'kick java build not already build ',negative
'src sub res empty reuse sub ',negative
'add the new entries including source jre container and added variables and classpath containers ',negative
'this will deal with all the subcommands modifying the root mapping tree ',negative
'skips ',negative
'the number bits int ',negative
'construct proper url for relative lookup ',negative
'src src res reuse the rest src ',negative
'create proper feature map entry ',negative
'set original node annotations allow get methods work correctly ',negative
'determine all the bundles that this project depends ',negative
'this call should get the files checked out from version control the project team project ',negative
'like isstringtype but still returns true even multiplicitymany ',negative
'reverse the objects attach and detach lists ',negative
'thisoffset points the next modifiers imsw imsw ',negative
'make sure the changed values bidirectional reference lists are cached before start apply the change ',negative
'this case will handled special during apply ',negative
'doesnt correspond bundle then try process project the workspace ',negative
'min max ',negative
'must xxf ',negative
'for closure ',negative
'public string return ',negative
'there only whitespace this line need for line break ',negative
'this handles rose format logical viewjavaexceptionfd ',negative
'for string ',negative
'move all children the type converting enum constants fields fields that are created conversion from enum constants must inserted after the last final field that used constructors for initializers ',negative
'escape form feed line feed crriage return horizontal tabulation case break vertical tabulation ',negative
'add jetbuilder ',negative
'literal char xyz azaz etc azaz etc strings back references imsims yesno ',negative
'clone includestack without cloning contents ',negative
'abc fcterminal fcany fccontinue ',negative
'create jetproperties file ',negative
'mark the bound unspecified that wont considered many but can nevertheless recognized being unspecified and perhaps still treat many ',negative
'store the current state stack ',negative
'all the objects arent used the above then cant the command ',negative
'perl extension ',negative
'new template container entryfield ',negative
'theres position the list being cleared ',negative
'set the new variables ',negative
'the template path points project with jet nature then will assume that the templates want use are already compiled this plugin java project ',negative
'when attached have recompute the erasure the type parameter ',negative
'build table values ',negative
'create key set that supports add ',negative
'suppress default constructor for noninstantiability ',negative
'get previous state stack ',negative
'vaj kludge ',negative
'resultaddrange utfmax return ',negative
'make sure have something pop ',negative
'map eclass eenum einerface note that not map structure and primitive type class ',negative
'register the file and read its content ',negative
'the system time hasnt changed add some increment nanoseconds guarantee uniqueness ',negative
'stack created will happen the jet file were looking missing ',negative
'use alternate cant write this one ',negative
'and delegate the call ',negative
'the method not structural feature its modeled operation ',negative
'continue with the established base url ',negative
'consume the open quote ',negative
'allow existing buildproperties overwritten since may have been created part empty emf project use the existence pluginxml guard against overwriting project that has already been generated ',negative
'restore parser state ',negative
'filter out explicit eobject from super types except the ecore package itself appears the model supertypes ',negative
'check for equal sign ',negative
'nonnls nonnls nonnls nonnls ',negative
'get the attribute value ',negative
'insert line break there nonwhitespace before end the line ',negative
'error like cpadr cdx cxd cxx where non data ',negative
'dont any the other normally dynamic jetemitter project processing ',negative
'nonjavadoc see ',negative
'get the existing classpath and remove the project root necessary any new nonduplicate entries will added this ',negative
'schema rec datatypes punctuation initial quote final quote ',negative
'note hierarchical authority null ',negative
'end the usebean tag ',negative
'represents least one bit group zeros ',negative
'emfeditor generation ',negative
'xmlesque close tags ',negative
'parse attributevalue ',negative
'can create the removecommand for uncontrol but must defer creating addcommand control until run when the user specifies target resource ',negative
'tests generation ',negative
'reached eof ',negative
'resolve relative uri base uri see rfc section some cases might make more sense throw exception when scheme specified the string spec and the base uri also specified for example but were just following the rfc specifications ',negative
'create annotations ',negative
'map eclass ',negative
'until the encoding can specified within the template need assume encoding capable working with any character set ',negative
'tbd different objects for ecore model ',negative
'check end quote skip closing quote ',negative
'note absolutepath hierarchical ',negative
'get the attribute name ',negative
'aaf ',negative
'attempt parse authority the section empty string this valid server based authority set the host this value ',negative
'delete the with matching action ',negative
'search backwards starting from character before ',negative
'dont remove the adapter the object different resource and that resource and hence all its contents are being cross referenced ',negative
'ddf ',negative
'the second character wasnt order valid the remainder the string must match ipvaddress and must have read exactly bit groups ',negative
'skip derived features ',negative
'the include succeeded there alternative and were not skipping need start ',negative
'check for authority rfc found host then weve got network path were done ',negative
'include derived relations only they wont also come from mixed group ',negative
'remove ending segment where segment complete path segment ',negative
'this just proxy being resolved ',negative
'rfc states that hostnames take the form described rfc section and rfc section according rfc hostnames are limited characters ',negative
'force the raw type resolved dont resolve this endlessly ',negative
'rightmost domain label starting with digit indicates address since top level domain label can only start with alpha see rfc section ',negative
'update the classifier and hence the raw type normal ',negative
'rfc only allows and appear the opaque part ',negative
'aff ',negative
'map eclass ',negative
'look for endofcomment endoftag ',negative
'weve either reached the end the string the address ends ipv address invalid scanhexsequence has already made sure that have the right number bits ',negative
'section not allowed without preceding include with alternative ',negative
'encode special characters anyuri using represent special ascii characters xxf etc and nonascii characters whose value ',negative
'xml schema anyuri specific information ',negative
'expression with more that will break sun and ibm javac compilers ',negative
'newline from the previous character data remains leave around processed appeared the included file ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'the include failed there alternative dont skip ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'development time the real factory may not available just return null ',negative
'this pop safe because section couldnt have been started without include that pushed ',negative
'nonjavadoc see ',negative
'aff ',negative
'cannot start with end with ',negative
'process this first ',negative
'ignore this now ',negative
'dont overwrite exising file ',negative
'register our directive ',negative
'create import manager for this compilation unit ',negative
'ignore there are multiple comments ',negative
'three arguments are expected the xml jcontrolmodel uri the source java uri and the target java uri ',negative
'interprets escaped characters according java literal rules with one exception single taken literally not error ',negative
'fill value byte fill value byte fill value byte ',negative
'protected static final estructuralfeature containingfeature new ereferenceimpl protected static final estructuralfeature container new ereferenceimpl ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'fffff ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'nonjavadoc see ',negative
'fill value byte fill value byte fill value byte ',negative
'entry entry new entryeobject container return ',negative
'fill value byte ',negative
'this should never called ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'check for valid escape sequence ',negative
'there isnt executable command should maybe try link operation but only were allowed and not doing link ',negative
'return correctly sized result ',negative
'eatm ',negative
'fill value byte fill value byte fill value byte ',negative
'fill value byte fill value byte ',negative
'aaf ',negative
'fill value byte fill value byte fill value byte ',negative
'deprecated ',negative
'nonjavadoc see ',negative
'fbfdff ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'econtainer newcontainer econtainerfeatureid ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'when setting the resource null assume that detach has already been called the resource implementation ',negative
'fill value byte ',negative
'stop listening the old one ',negative
'nonjavadoc see ',negative
'ignore the furthermost javadoc ',negative
'create annotations ',negative
'ffffef ',negative
'get whats left the segments after trimming the prefix ',negative
'ddff ',negative
'added since this encoding only differs wrt presentation ',negative
'fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte fill value byte ',negative
'valid opaque part must nonnull and nonempty may contain any allowed uri characters but its first character may not codecode ',negative
'start listening the new one ',negative
'add ascii letters and ascii hex numbers ',negative
'create the source and target jdoms ',negative
'beginuserdoc the bswitchb for the models inheritance hierarchy supports the call link doswitcheobject doswitchobject invoke the codecasexxxcode method for each class the model starting with the actual class the object and proceeding the inheritance hierarchy until nonnull result returned which the result the switch enduserdoc see generated ',negative
'add those manually fffffd private use fffd private use ffffffd specials ',negative
'neither scheme schemefragment are valid uris ',negative
'create pattern dictionary for each ',negative
'note segmentslength hierarchical ',negative
'compute the offset the sequence bit patterns for this feature and then get the bit pattern that index ',negative
'check see this the current doc rfc note that this slightly different from the rfc spec that dont include the check for query string being null this handles cases where the urispec just query string fragment see which identified this bug the rfc ',negative
'expect this failure when running standalone ',negative
'use stack accumulate segments ',negative
'compute the index within that bit pattern for this feature and fetch that bit that index ',negative
'initialize classes and features add operations and parameters nonnls nonnls nonnls nonnls nonnls ',negative
'for isset only need check the bit and return when the bit ',negative
'the value index set theres index return ',negative
'empty statement ',negative
'return value null valuelength valuecharat segmentseparator validatevalue urichi uriclo true true ',negative
'this just notifies those things that are affected the selection ',negative
'validation needed since all components are from existing uris ',negative
'the result not proxy cache ',negative
'server based authority ',negative
'can check against path characters because the set the same except for which weve already excluded ',negative
'initialize all the fields from the command parameter ',negative
'check that port well formed exists revisit theres restriction port value ranges but perform the same check setport consistent pass string this method instead integer ',negative
'nonjavadoc see ',negative
'ipv addresses are bit there can most eight sections ',negative
'all eclipsedependent operations are delegated this class this pattern avoids any runtime failure due missing dependencies the standalone case ',negative
'return value null validatevalue segmentcharhi segmentcharlo true true ',negative
'nonjavadoc see boolean ',negative
'count just the bits this one note that shifting bits ',negative
'this might invalid ipvaddress its potentially ipvaddress backup just after the last valid character that matches hexseq ',negative
'determine the index for the feature and return the value that index index assigned ',negative
'fill value byte fill value byte fill value byte fill value byte ',negative
'determine index assigned ',negative
'determine the index ',negative
